"subject_name","session","block","trial","stim1","stim2","feedback","C_st","C","o","stim_time","choice_time","feedback_time","acc","p_r1","p_pun1","p_r2","p_pun2","Q_chosen","Q_chosen_new","Q_unchosen","RPE","delta_Q","log_asym","R_mean","R_r","R_pun","outcome","RPE_wins","Q_chosen_wins","Q_unchosen_wins","Q_chosen_new_wins","delta_Q_wins","run_number","Q_diff"
221604,40,1002,18,188,187,0,1,187,0,1621288094388,1621288095452,1621288099099,1,0.15,0.15,0.7,0.15,1.96379426993405,NA,0.654598089978018,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,1.96379426993405,0.654598089978018,NA,NA,3,1.30919617995604
221604,40,1002,28,188,186,0,0,188,0,1621288196524,1621288198366,1621288202713,1,0.15,0.15,0.15,0.7,-0.209746100439011,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"nothing",NA,-0.209746100439011,-2.8027786716901,NA,NA,3,2.59303257125109
221604,40,1002,29,187,188,0,0,187,1,1621288204780,1621288206217,1621288210225,1,0.7,0.15,0.15,0.15,1.96379426993405,NA,-0.209746100439011,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.96379426993405,-0.209746100439011,NA,NA,3,2.17354037037306
221604,40,1002,36,187,186,0,0,187,1,1621288280676,1621288282192,1621288285792,1,0.7,0.15,0.15,0.7,1.96379426993405,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.96379426993405,-2.8027786716901,NA,NA,3,4.76657294162415
221604,40,1002,40,187,188,0,0,187,1,1621288312829,1621288313750,1621288317437,1,0.7,0.15,0.15,0.15,0.772151034528016,NA,-0.209746100439011,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,0.772151034528016,-0.209746100439011,NA,NA,3,0.981897134967026
221604,40,1002,47,187,188,0,0,187,1,1621288370716,1621288371736,1621288375333,1,0.7,0.15,0.15,0.15,1.01047968160922,NA,0.187468311363002,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.01047968160922,0.187468311363002,NA,NA,3,0.823011370246221
221604,40,1002,58,188,187,0,1,187,1,1621288469374,1621288470376,1621288475982,1,0.15,0.15,0.7,0.15,1.36797265223103,NA,0.0357281833027457,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.36797265223103,0.0357281833027457,NA,NA,3,1.33224446892829
221604,40,1002,65,187,188,0,0,187,1,1621288533512,1621288534420,1621288538225,1,0.7,0.15,0.15,0.15,1.43417505419804,NA,-0.279661467252015,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.43417505419804,-0.279661467252015,NA,NA,3,1.71383652145005
221604,40,1002,76,187,188,0,0,187,1,1621288620704,1621288621735,1621288627083,1,0.7,0.15,0.15,0.15,1.48713697577164,NA,-0.228813927751648,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.48713697577164,-0.228813927751648,NA,NA,3,1.71595090352329
221604,40,1002,82,187,186,0,0,187,1,1621288681031,1621288682063,1621288685744,1,0.7,0.15,0.15,0.7,1.53046945705913,NA,-2.8027786716901,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.53046945705913,-2.8027786716901,NA,NA,3,4.33324812874923
221604,40,1002,83,188,187,0,1,187,1,1621288687814,1621288688579,1621288694405,1,0.15,0.15,0.7,0.15,1.53046945705913,NA,-0.209746100439011,NA,NA,-0.346453085447406,2.33989335076065,1.96379426993405,-2.8027786716901,"win",NA,1.53046945705913,-0.209746100439011,NA,NA,3,1.74021555749814
